school_id,school_name,short_name
stem,"Science, Technology, Engineering and Mathematics (STEM)",STEM
business,School of Business and Economics,Business
education,"School of Education, Governance, Culture & Social Systems",Education
kalayoga,School of Kalayoga,Kalayoga
languages,School of Linguistics & Literary Studies,Languages
philosophy,"School of Philosophy, Psychology & Scientific Heritage",Philosophy
vedic,School of Vedic Knowledge Systems,Vedic
physical-education,Department of Physical Education and Sports,Physical Education
